## Лист: Расчет стоимости
		Приложение № 2																			
		к муниципальному контракту №____ 																			
		от "____" _______________2026 г.																			
РАСЧЕТ СТОИМОСТИ РАБОТ																					
Капитальный ремонт сетей водоснабжения в г. Поронайске по ул. Восточная, 162А																					
																					
№ п/п	Наименование работ	Ед. изм.	Объем	Стоимость единицы	Общая стоимость																
1	2	3	4	5	6																
Земляные работы									Земляные работы.												
38	Щебень из плотных горных пород для строительных работ М 600, фракция 20-40 мм	м3	0.92	4069.739130434782	3744.16																
Монтаж водопроводного колодца									Монтаж водопроводного колодца.												
39	Устройство круглых колодцев из сборного железобетона в грунтах: мокрых                                 	10 м3	0.149	536470.5369127517	79934.11																
40	Плиты перекрытия ПП-15 (объем изделия не менее 0,28 м3)	шт	1	12336.44	12336.44																
41	Кольцо стеновое КС 15.9 (внутренний диаметр не менее 1500 мм, высота не менее 0,89 м, объем изделия не менее 0,4 м3)	шт	2	10914.06	21828.12																
42	Кольца опорные КО 6 (объем изделия не менее 0,02 м3)	шт	1	1569.32	1569.32																
43	Люк чугунный круглый (диаметр лаза не менее 600 мм)	шт	1	9980.29	9980.29																
44	Плиты днища ПН-15 (объем изделия не менее 0,38 м3)	шт	1	11994.94	11994.94																
45	Пробивка в бетонных стенах и полах толщиной 100 мм отверстий площадью: свыше 100 до 500 см2	100 отверстий	0.03	252869.6666666667	7586.09																
Итого					2620068.86																
Непредвиденные затраты					52401.377199999995																
Индекс фактической инфляции на дату определения НМЦК                              			k = 1,0007		2674340.9663660396																
Индекс пронозной инфляции на период выполнения работ			k = 1,0252		2741734.3587184637																
НДС 22%					603181.558918062																
ВСЕГО по расчету					3344915.917636526
